leg_name,sessions
"Aagard, Douglas C.","1,4"
"Adams, J. Stuart","1,2"
"Alexander, Jeff","1,2"
"Allen, Sheryl L.","1,4"
"Andersen, Sylvia S.","3,4"
"Barrus, Roger E.","1,4"
"Becker, Ralph","1,3"
"Bigelow, Ron","1,4"
"Bird, Jim","3,4"
"Biskupski, Jackie","1,4"
"Bourdeaux, Duane E.","1,2"
"Bowman, DeMar Bud","1,4"
"Brown, Melvin R.","3,4"
"Buttars, Craig W.","1,2"
"Buxton, D. Gregg","1,3"
"Chavez-Houck, Rebecca","3.99,4"
"Christensen, LaVar","1,2"
"Clark, David","1,4"
"Clark, Stephen D.","1,4"
"Cosgrove, Tim M.","1,4"
"Cox, David N.","1,2"
"Curtis, Greg J.","1,4"
"Daw, Bradley M.","1,4"
"Dee, Brad L.","1,4"
"Donnelson, Glenn A.","1,4"
"Dougall, John","1,4"
"Draxler, Jack R.","3,4"
"Duckworth, Carl W.","1,4"
"Dunnigan, James A.","1,4"
"Ferrin, James A.","1,2"
"Ferry, Ben C.","1,4"
"Fisher, Janice M.","1,4"
"Fisher, Julie","1,4"
"Fowlke, Lorie D.","1,4"
"Frank, Craig A.","1,4"
"Froerer, Gage","3,4"
"Garn, Kevin S.","3,4"
"Gibson, Kerry W.","1,4"
"Gowans, James R.","1,4"
"Greenwood, Richard A.","3.99,4"
"Grover, Keith","3,4"
"Hansen, Neil A.","1,4"
"Hardy, Ann W.","1,2"
"Harper, Wayne A.","1,4"
"Hemingway, Lynn N.","3,4"
"Hendrickson, Neal B.","1,4"
"Herrod, Christopher N.","3,4"
"Hogue, David L.","1,2"
"Holdaway, Kory M.","1,4"
"Hughes, Gregory H.","1,4"
"Hunsaker, Fred R","1,4"
"Hutchings, Eric K.","1,4"
"Johnson, Bradley T.","1,2"
"Johnson, Christine A.","3,4"
"King, Brad","1,4"
"Kiser, Todd E.","1,4"
"Last, Bradley G.","1,4"
"Lawrence, M. Susan","1,2"
"Litvack, David","1,4"
"Lockhart, Rebecca D.","1,4"
"Mascaro, Steven R.","1,4"
"Mathis, John G.","1,4"
"McCartney, Ty","1,1.99"
"McGee, Rosalind J.","1,4"
"McIff, Kay L.","3,4"
"Menlove, Ronda Rudd","1,4"
"Morgan, Karen W.","1,4"
"Morley, Michael T.","1,4"
"Moss, Carol Spackman","1,4"
"Murray, Joseph G.","1,2"
"Neuenschwander, Paul A.","3,4"
"Newbold, Merlynn T.","1,4"
"Noel, Michael E.","1,4"
"Oda, Curtis","1,4"
"Painter, Patrick","1,4"
"Ray, Paul","1,4"
"Riesen, Phil","3,4"
"Sandstrom, Stephen E.","3,4"
"Seelig, Jennifer M.","2,4"
"Shurtliff, LaWanna","1,4"
"Snow, Gordon E.","1,4"
"Sumsion, Kenneth W.","3,4"
"Tilton, Aaron","1,4"
"Ure, David","1,2"
"Urquhart, Stephen H.","1,4"
"Walker, Mark W.","1,4"
"Wallace, Peggy","1,2"
"Webb, R. Curt","3.99,4"
"Wheatley, Mark A.","1,4"
"Wheeler, Richard W.","1,3"
"Wiley, Larry B.","1,4"
"Wimmer, Carl","3,4"
"Winn, Bradley A.","3,4"
"Wyatt, Scott L","1,3"
"Allen, Ron","1,1.99"
"Arent, Patrice M.","1,2"
"Bell, Gregory S.","1,4"
"Bramble, Curtis S.","1,4"
"Buttars, D. Chris","1,4"
"Christensen, Allen M.","1,4"
"Davis, Gene","1,4"
"Dmitrich, Mike","1,4"
"Eastman, Dan R.","1,4"
"Evans, Beverly Ann","1,2"
"Fife, Fred J.","1,4"
"Greiner, Jon J.","3,4"
"Hale, Karen","1,2"
"Hatch, Thomas V.","1,2"
"Hellewell, Parley G.","1,2"
"Hickman, John W.","1,4"
"Hillyard, Lyle W.","1,4"
"Jenkins, Scott K.","1,4"
"Julander, Paula F.","1,1.99"
"Killpack, Sheldon L.","1,4"
"Knudson, Peter C.","1,4"
"Madsen, Mark B.","1,4"
"Mansell, L. Alma","1,2"
"Mayne, Ed","1,3"
"Mayne, Karen","3.99,4"
"McCoy, Scott D.","1,4"
"Niederhauser, Wayne L.","3,4"
"Peterson, Darin G.","1,4"
"Stephenson, Howard A.","1,4"
"Stowell, Dennis E.","3,4"
"Thomas, David L.","1,2"
"Valentine, John L.","1,4"
"Van Tassell, Kevin T.","3,4"
"Waddoups, Michael G.","1,4"
"Walker, Carlene M.","1,4"
"Dayton, Margaret","1,4"
"Goodfellow, Brent H.","1,4"
"Jones, Patricia W.","1,4"
"Romero, Ross I.","1,4"
